pm10,pm25,co,no2,o3,so2,,pm10_category,hours,avg_pm25,avg_co,avg_no2,avg_o3,pm25_to_pm10_ratio
106,9.4,0.1,0.003,0.035,0,,Low (0-20),472,3.61,0.183,0.018,0.025,0.36
95,13.1,0.6,0.096,0.007,0.002,,Moderate (20-40),190,8.24,0.363,0.037,0.014,0.305
94,12.1,0.4,0.063,0.013,0.001,,High (40-60),48,12.02,0.475,0.049,0.011,0.247
94,20.2,1,0.118,0.009,0.002,,Very High (60+),27,14.24,0.53,0.058,0.014,0.206
87,14.1,0.9,0.131,0.005,0.003,,,,,,,,
87,8.3,0.1,0.006,0.032,0,,,,,,,,
72,7.7,0.2,0.016,0.027,0,,hour_of_day,avg_pm10,avg_pm25,avg_co,avg_no2,avg_o3,
71,39.9,1,0.069,0.004,0.001,,0,17.26,3.55,0.168,0.015,0.031,
70,6.9,0.1,0.006,0.04,0,,1,20.87,5.35,0.313,0.025,0.02,
70,9.2,0.3,0.05,0.017,0.001,,2,23.35,7.71,0.377,0.028,0.016,
70,11,0.6,0.086,0.006,,,3,22.48,8.55,0.329,0.027,0.018,
67,8,0.2,0.013,0.025,0,,4,22.1,9.38,0.332,0.028,0.017,
66,14.9,0.8,0.08,0.008,0.001,,5,22.47,9.18,0.383,0.031,0.016,
65,10.3,0.4,0.071,0.009,0.001,,6,21.57,9,0.327,0.029,0.017,
65,16.9,0.4,0.047,0.003,0,,7,20.3,8.18,0.333,0.03,0.016,
65,10.6,0.7,0.063,0.003,0.001,,8,18.42,6.75,0.274,0.03,0.016,
64,6.8,0.2,0.013,0.033,,,9,15.19,5.48,0.258,0.027,0.015,
63,20.9,0.7,0.07,0.003,0.001,,10,13.58,4.71,0.216,0.024,0.015,
63,11.7,1,0.133,0.004,0.002,,11,12.58,4.42,0.213,0.024,0.016,
63,6.2,0.1,0.005,0.042,0,,12,12.19,4.22,0.213,0.027,0.015,
62,37.3,0.8,0.062,0.004,0.001,,13,15.03,4.38,0.232,0.031,0.013,
62,34.5,0.7,0.054,0.004,0.001,,14,15.77,4.55,0.279,0.036,0.012,
61,11.2,0.7,0.108,0.007,0.002,,15,23.43,5.94,0.432,0.05,0.009,
61,5.7,0.1,0.008,0.034,0,,16,28.28,6.4,0.426,0.052,0.014,
61,9,0.5,0.067,0.002,0.001,,17,32.97,6.4,0.323,0.041,0.019,
59,12.9,0.5,0.059,0.009,0.001,,18,27.65,5.57,0.232,0.029,0.024,
59,10.9,0.5,0.036,0.007,0,,19,20.23,4.45,0.174,0.019,0.03,
58,11.3,0.3,0.028,0.01,0,,20,17.81,3.97,0.132,0.014,0.034,
58,12.8,0.5,0.047,0.003,0,,21,15.81,3.6,0.123,0.011,0.036,
58,7.9,0.2,0.018,0.026,0,,22,15.48,3.34,0.119,0.01,0.037,
57,10.9,0.4,0.038,0.009,0,,23,14.16,3.1,0.119,0.01,0.036,
57,10.1,0.8,0.102,0.007,0.002,,,,,,,,
56,32.5,0.7,0.053,0.007,0.001,,o3_category,hours,avg_pm10,avg_pm25,avg_co,avg_no2,
55,12.3,0.4,0.038,0.005,0,,Low O3 (<0.015),272,28.12,9.32,0.447,0.049,
55,13.2,0.5,0.058,0.011,0.001,,Moderate O3 (0.015-0.030),205,15.63,4.41,0.183,0.019,
55,11.5,0.5,0.072,0.011,0.001,,High O3 (0.030+),247,13,2.91,0.12,0.009,
55,8,0.3,0.044,0.014,0.001,,,,,,,,
54,13.1,0.5,0.052,0.002,0,,,,,,,,
53,13.6,0.4,0.045,0.016,0.001,,,,,,,,
53,14.8,0.8,0.069,0.003,0.001,,,,,,,,
52,9.4,0.3,0.043,0.026,0.001,,,,,,,,
52,8.1,0.5,0.054,0.005,0.001,,,,,,,,
51,8.5,0.3,0.04,0.014,,,,,,,,,
51,23.7,1.1,0.094,0.003,0.001,,,,,,,,
51,10.1,0.5,0.053,0.007,,,,,,,,,
50,7.6,0.4,0.049,0.008,0,,,,,,,,
50,7.7,0.2,0.016,0.026,0,,,,,,,,
49,8.5,0.4,0.053,0.003,0,,,,,,,,
49,4.7,0.1,0.006,0.038,0,,,,,,,,
49,21.1,1,0.091,0.003,0.001,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Are there any noticeable relationships between different air pollutants in the dataset?,,,,,,,,,,,,,
,,,,,,,,,,,,,
I'll analyze the relationships between different air pollutants to see if they correlate or show connected patterns.,,,,,,,,,,,,,
Query executed,,,,,,,,,,,,,
Query executed,,,,,,,,,,,,,
Query executed,,,,,,,,,,,,,
Query executed,,,,,,,,,,,,,
The data reveals several clear relationships between air pollutants:,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. Strong Positive Correlation: PM10, PM2.5, CO, and NO2",,,,,,,,,,,,,
"These pollutants rise and fall together, indicating common sources or atmospheric conditions:",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Low PM10 periods (0-20 µg/m³): CO averages 0.183 ppm, NO2 averages 0.018 ppm",,,,,,,,,,,,,
"Very High PM10 periods (60+ µg/m³): CO increases to 0.53 ppm (+190%), NO2 rises to 0.058 ppm (+222%)",,,,,,,,,,,,,
,,,,,,,,,,,,,
"During the worst pollution episodes (PM10 > 60 µg/m³), carbon monoxide and nitrogen dioxide are consistently elevated, suggesting these pollutants share common sources like combustion processes (vehicles, heating, wood burning).",,,,,,,,,,,,,
2. Inverse Relationship: Ozone vs. Other Pollutants,,,,,,,,,,,,,
Ozone behaves opposite to particulate matter and combustion pollutants:,,,,,,,,,,,,,
,,,,,,,,,,,,,
"When O3 is low (<0.015 ppm): PM10 averages 28.12 µg/m³, CO is 0.447 ppm",,,,,,,,,,,,,
"When O3 is high (>0.030 ppm): PM10 drops to 13.0 µg/m³, CO falls to 0.12 ppm",,,,,,,,,,,,,
,,,,,,,,,,,,,
"This inverse pattern reflects atmospheric chemistry—ozone forms through photochemical reactions in sunlight, while particulates and combustion pollutants accumulate during stagnant, low-mixing conditions (often at night or during inversions).",,,,,,,,,,,,,
3. Distinct Diurnal Patterns Reveal Relationships,,,,,,,,,,,,,
The hourly analysis shows coordinated movement:,,,,,,,,,,,,,
Morning Peak (2-7 AM):,,,,,,,,,,,,,
,,,,,,,,,,,,,
PM10: 20-23 µg/m³,,,,,,,,,,,,,
PM2.5: 7-9 µg/m³,,,,,,,,,,,,,
CO: 0.33-0.38 ppm,,,,,,,,,,,,,
NO2: 0.027-0.031 ppm,,,,,,,,,,,,,
O3: 0.016-0.018 ppm (low),,,,,,,,,,,,,
,,,,,,,,,,,,,
Midday Minimum (11 AM-1 PM):,,,,,,,,,,,,,
,,,,,,,,,,,,,
PM10: 12-15 µg/m³ (lowest),,,,,,,,,,,,,
CO: 0.21-0.23 ppm (lowest),,,,,,,,,,,,,
O3: 0.013-0.016 ppm (still low),,,,,,,,,,,,,
,,,,,,,,,,,,,
Afternoon/Evening Peak (3-6 PM):,,,,,,,,,,,,,
,,,,,,,,,,,,,
PM10: 23-33 µg/m³ (highest),,,,,,,,,,,,,
CO: 0.32-0.43 ppm (highest),,,,,,,,,,,,,
NO2: 0.041-0.052 ppm (highest),,,,,,,,,,,,,
O3: 0.009-0.014 ppm (lowest of day),,,,,,,,,,,,,
,,,,,,,,,,,,,
Night Recovery (9 PM-midnight):,,,,,,,,,,,,,
,,,,,,,,,,,,,
O3: 0.030-0.037 ppm (highest),,,,,,,,,,,,,
PM10: 14-20 µg/m³ (declining),,,,,,,,,,,,,
CO: 0.12-0.17 ppm (declining),,,,,,,,,,,,,
,,,,,,,,,,,,,
4. PM2.5/PM10 Ratio Changes with Pollution Level,,,,,,,,,,,,,
The ratio of fine to coarse particles shifts during pollution events:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Clean air: PM2.5 is 36% of PM10,,,,,,,,,,,,,
Very polluted air: PM2.5 drops to 21% of PM10,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This suggests that during high pollution episodes, coarser particles dominate, possibly from dust, road debris, or mechanical processes rather than just combustion.",,,,,,,,,,,,,
5. Sulfur Dioxide: No Relationship,,,,,,,,,,,,,
"SO2 remains at zero or near-zero throughout, showing no correlation with any other pollutant. This indicates minimal industrial or coal combustion sources in this area.",,,,,,,,,,,,,
"Key Takeaway: The data shows two distinct pollution regimes—combustion-related pollutants (PM, CO, NO2) that peak together during poor atmospheric mixing, and photochemical ozone that forms under opposite conditions with good sunlight and air circulation.",,,,,,,,,,,,,
